item_title,item_desc,link
Vaṭeśvara-siddhānta,Vaṭeśvara-siddhānta was a mathematical and astronomical treatise written by Vaṭeśvara in India in 904 CE. This treatise contains fifteen chapters on astronomy and applied mathematics.,http://en.wikipedia.org/wiki/Vaṭeśvara-siddhānta
2007 Derry Gaelic football season,The following are the results and details of the Derry senior Gaelic football team's competitive games in 2007. Details of the 2007 Derry club competitions are also shown.,http://en.wikipedia.org/wiki/2007_Derry_Gaelic_football_season
Shahi Imam,"The Shahi Imam is the Imam of Delhi's Jama Masjid, Mughal emperor Shahjahan appointed Syed Abdul Ghafoor Shah Bukhari to the high office of Imamat-e-Uzma, and conferred upon him the title of Shahi Imam.",http://en.wikipedia.org/wiki/Shahi_Imam
1996–97 French Division 1,"The 1996–97 Ligue 1 season (then known as Division 1) was the 60th since its establishment. AS Monaco won the French Association Football League with 79 points. Four teams were relegated to Second division and only two were promoted because in 1997–1998, only 18 would participate the championship.",http://en.wikipedia.org/wiki/1996–97_French_Division_1
Education in Goa,"The smallest state in India, Goa covers an area of 3,702 km2. Situated on the western coast of India, Goa shares its northern boundary with Maharashtra. Karnataka covers the eastern and southern boundary of the state. Panaji is the capital city of the state of Goa. One of the major tourist destinations in India, Goa also houses some of the best educational institutes of the nation. The scenario of education here is comparatively better than many other states of the nation.",http://en.wikipedia.org/wiki/Education_in_Goa
Kumirkola,"Kumirkola is a small village residing on the banks of the Damodar river, which flows through the heart of Burdwan district of West Bengal in India. It has a population of about 1737 persons living in 339 households.The name Kumirkola is probably derived from two Bengali words ""Kumir"" and ""khola"", indicating a crocodile and a rough surface.",http://en.wikipedia.org/wiki/Kumirkola
1971–72 French Division 1,Olympique de Marseille won Division 1 season 1971/1972 of the French Association Football League with 56 points.,http://en.wikipedia.org/wiki/1971–72_French_Division_1
Tughral Tughan Khan,Tughral Tughan Khan (also known as Mughisuddin Tughral) ruled Bengal during 1236-1246 CE and again during 1272-1281 CE. He was also a governor of Bihar and Oudh.,http://en.wikipedia.org/wiki/Tughral_Tughan_Khan
Malnutrition in Kerala,"This article refers to the situation of malnutrition in the Indian state of Kerala.According to the India State Hunger Index published by the International Food Policy Research Institute, the severity of hunger and malnutrition in Kerala is the second lowest in India, and is considered to be ""serious"".",http://en.wikipedia.org/wiki/Malnutrition_in_Kerala
1985–86 in English football,The 1985–86 season was the 106th season of competitive football in England.,http://en.wikipedia.org/wiki/1985–86_in_English_football
Chief Commissioner of Income Tax,"The Chief Commissioner of Income Tax or ""Director General of Income Tax"" is a senior rank in the Income Tax Department in India. Chief Commissioners are in charge of operations of the department with in a region which is usually overlapping with the territory of a state. Depending on the region their numbers vary from 23(like in Maharashtra) and 3(Karnataka). They are chosen from the Indian Revenue Service and usually after serving in the Government for a period of 30 years.",http://en.wikipedia.org/wiki/Chief_Commissioner_of_Income_Tax
Mumbai–Manmad Pipeline,"The Mumbai Manmad Bijwasan Pipeline (MMBPL) was one of the most ambitious projects undertaken by Bharat Petroleum Corporation Limited. The project commenced in mid-1998 and involved the laying of a 168 km long petroleum product pipeline from Mumbai on the Arabian sea coast to Manmad, near Nashik, located in North-Eastern Maharashtra. Subsequently, by March 2007, the pipeline was extended from Manmad to Bijwasan near New Delhi's Indira Gandhi International Airport.",http://en.wikipedia.org/wiki/Mumbai–Manmad_Pipeline
Pinnacle Mall,"The Pinnacle Mall is a large mixed used development in the city of Nasik, Maharashtra, South West India. It is a 300,000 square feet (28,000 m2) development on the Trimbak road square at the junction of the old Mumbai and Trimbakeshwar expressway. It is being developed by the Atal Buildcon company. It was inaugurated on 16 July 2011.Pantaloon will be the major tenant.",http://en.wikipedia.org/wiki/Pinnacle_Mall
Thurinjapuram block,"Thurinjapuram block is a revenue block in the Tiruvannamalai district of Tamil Nadu, India. It contains a total of 47 panchayat villages.",http://en.wikipedia.org/wiki/Thurinjapuram_block
